obj phase NIII1746 d_NIII1746 CIII1907 d_CIII1907 NII2139 d_NII2139 CII2323 d_CII2323 MgIIFeII2650 d_MgIIFeII2650 MgII2795 d_MgII2795 NV1238 d_NV1238 OI1305 d_OI1305 CII1335 d_CII1335 SiIV1398 d_SiIV1398 NIV1483 d_NIV1483 CIV1548 d_CIV1548 HeII1640 d_HeII1640 OIII1660 d_OIII1660
2021csp 8 -1.623843674843143e-15 4.576225153754114e-16 2.337914393657833e-15 1.8435232598520577e-16 1.2779681573696947e-16 1.1828109859417275e-16 -1.4422116656146452e-15 1.1224027378850078e-16 -3.82360901642134e-17 9.934855696501269e-17 7.377178029150523e-16 3.798152269758618e-16 2.3821002676901454e-14 4.499858511132077e-16 2.585949008568828e-14 5.564044169277877e-16 3.5450397583771346e-14 6.900592284847332e-16 5.725660928471873e-14 8.843700337178506e-16 -3.6101459342617426e-15 9.56094761079991e-16 1.0520373296244559e-13 1.8266955285618063e-15 9.590808087391346e-15 1.2615425357260496e-15 2.005154565272468e-15 1.5376023521509854e-15
2015G 12 4.8173607498191794e-14 1.890588912285918e-15 -9.747777447721728e-15 5.881532771531051e-16 -1.5649787860103008e-14 3.597985494167334e-16 -1.4713334888882417e-15 2.67169422846726e-16 -1.1939470834954957e-15 1.6891106233198574e-16 3.335515531194934e-14 5.290136398924715e-16 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
2021csp 13 4.0551804424706825e-17 4.522640638286372e-16 -7.306499600411949e-17 1.576457871404716e-16 -2.0260937532317456e-16 1.3008810595957754e-16 3.543209117639262e-16 1.236460956823161e-16 3.6535047145181633e-16 1.1546584799324885e-16 -1.2765653976027276e-15 2.4785264995473954e-16 -1.1357275938509433e-15 2.4961574840332785e-16 2.3396323040242817e-15 3.546694386622364e-16 9.445560505367856e-15 4.369923772188082e-16 2.179799791892814e-14 5.962121183900518e-16 -2.8066806520032424e-15 6.58380993315643e-16 5.338659342229867e-14 1.4140489422452507e-15 1.189458798373301e-15 7.162436589344364e-16 -2.9303197745785596e-15 9.839859891808681e-16
2020nxt 18 5.193964717435496e-15 7.363504539262741e-16 1.8647210241821974e-14 6.535637499874699e-16 -1.22214021128063e-15 2.179699649672091e-16 6.7820648538594266e-15 2.9636875383421973e-16 4.982838350847821e-16 1.7538977126129996e-16 2.805664950974009e-14 7.836548824390218e-16 1.0395671459745864e-14 2.6068046408940183e-16 -1.391822375079154e-16 1.8710213096272014e-16 2.7286644074096853e-15 2.2852768919885265e-16 9.678076845110096e-15 3.8845684619367127e-16 -3.9573621234841194e-16 3.0643600758681807e-16 2.0672292717144155e-14 8.7492185738198e-16 1.7956082533788695e-15 5.667177098424044e-16 -2.2926491949114098e-15 6.952756036506463e-16
2010jl 23 4.822974418315502e-13 2.6727218930923094e-14 2.3249629522698955e-13 1.3931272832327905e-14 1.56430479561968e-13 3.5434397056893022e-15 8.760284674790205e-14 2.3738763575317017e-15 8.926272557875981e-15 1.6984737383117604e-15 4.789130380455444e-13 4.113967199397921e-15 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
2020nxt 27 8.649275141767512e-15 1.2592202941093746e-15 9.981572270122786e-15 8.995231655420144e-16 1.8529820032979103e-15 3.0970585497760277e-16 5.04963783955553e-15 3.655618583403609e-16 -3.859682768591144e-16 1.8714351782989715e-16 3.784152437184328e-14 9.242822517182602e-16 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
2010jl 34 5.272587306106388e-13 2.8247005131343333e-14 2.470459151930761e-13 1.326889994357914e-14 1.742357926553672e-13 3.3233839345211493e-15 8.664085779150629e-14 2.1977353291593407e-15 1.2607317122895657e-14 1.733286337701367e-15 5.668319978150969e-13 4.1134155791138864e-15 2.503333902990041e-13 1.8827159782244414e-14 5.02903120815017e-14 1.5937982400292077e-14 -7.44063758086986e-14 1.5924944143096976e-14 6.538915064096988e-13 3.4145605042578516e-14 1.258298075432417e-12 4.6496710700890365e-14 1.0825616257127253e-12 4.8991746184407775e-14 2.314930874919262e-13 4.530846185920834e-14 3.318808236470368e-13 4.553764657101467e-14
1998S 71 3.8986181464146625e-15 1.1182397435584672e-15 4.780708153647468e-15 7.005943993045016e-16 1.920141986938232e-15 4.526393138157036e-16 8.019664480922416e-15 3.8684310296451485e-16 9.851782504344743e-16 3.087741901205129e-16 5.679868753118056e-13 1.7996998597882406e-15 7.040192304055601e-15 3.9146330163920637e-16 2.6232848407643987e-14 5.5463442520705e-16 1.752479987978164e-15 3.48177968920633e-16 1.1002732742042153e-14 5.6906779327099705e-16 1.2634594029739569e-14 5.523424090884255e-16 5.548297419349166e-15 7.729079849256096e-16 4.351217109370735e-15 7.626456589984398e-16 -2.9288061882197743e-15 8.8991191852891e-16
2010jl 95 6.014444406554205e-13 5.2912834005879266e-14 2.7540205895167613e-13 1.4213373704616886e-14 2.2171920437378177e-13 3.787381577720997e-15 1.2096241052462136e-13 2.451014535815672e-15 1.3615991780557495e-14 1.8670931726966302e-15 1.6291012231836403e-12 5.456880899422966e-15 2.2462187621628725e-13 9.979116571900879e-15 4.543004289677727e-14 8.841405723273053e-15 -4.4332328891821916e-14 8.590603266524825e-15 3.6535140782379776e-13 1.7164671310377835e-14 8.760219216477717e-13 2.1083318812630855e-14 5.533865223093804e-13 2.1103633140815473e-14 2.4012728695702157e-13 1.9750717743633545e-14 1.7698946125447408e-13 1.9337203034982938e-14
2020aekp 203 1.5131834555085093e-16 8.691958494043446e-16 1.4689517362734428e-15 5.183899403548132e-16 7.826056493490333e-18 3.027910925537016e-16 5.48876447001973e-16 2.2604752082787796e-16 -1.2267012426145457e-16 1.336099929522893e-16 5.858777568155056e-16 7.762934531381455e-16 -3.0011175289840753e-16 7.023420212316162e-17 1.0514867884259719e-16 6.557155460753664e-17 -2.3119381453665616e-16 4.7243060818341896e-17 5.812009501782068e-16 1.233367626951366e-16 3.3938496516087127e-16 1.0649210122359013e-16 1.983929687878249e-15 2.624718681392423e-16 0.0 0.0 0.0 0.0
