obj phase NV1238 d_NV1238 OI1305 d_OI1305 CII1335 d_CII1335 SiIV1398 d_SiIV1398 NIV1483 d_NIV1483 CIV1548 d_CIV1548 HeII1640 d_HeII1640 OIII1660 d_OIII1660
2005ip 3042 2.0994069355034187e-14 7.273114682125263e-16 8.919201063508329e-17 2.1943086709763512e-16 3.7228783254299403e-16 2.447755739599876e-16 9.372825455782288e-16 2.9374493713723114e-16 1.3756847746835463e-14 7.403704608260501e-16 3.661204510278833e-15 6.002623188510576e-16 4.9275582634206565e-15 8.118862518103928e-16 1.4193176760802805e-15 7.305079927865169e-16
2005ip 4337 1.61149987769622e-15 4.471551710861727e-16 1.6779751939133654e-15 2.9848507399139483e-16 -8.775918610047217e-16 3.2562746631194805e-16 -1.3213487703602165e-15 3.797591856087624e-16 2.7365330877217367e-15 4.915138814889684e-16 6.295963994204363e-16 4.607216647560199e-16 1.7344927844766565e-15 6.326266975934887e-16 2.5221220828584766e-16 7.334969367016613e-16
2021csp 8 2.3821002676901454e-14 4.499858511132077e-16 2.585949008568828e-14 5.564044169277877e-16 3.5450397583771346e-14 6.900592284847332e-16 5.725660928471873e-14 8.843700337178506e-16 -3.6101459342617426e-15 9.56094761079991e-16 1.0520373296244559e-13 1.8266955285618063e-15 9.590808087391346e-15 1.2615425357260496e-15 2.005154565272468e-15 1.5376023521509854e-15
2021csp 13 -1.1357275938509433e-15 2.4961574840332785e-16 2.3396323040242817e-15 3.546694386622364e-16 9.445560505367856e-15 4.369923772188082e-16 2.179799791892814e-14 5.962121183900518e-16 -2.8066806520032424e-15 6.58380993315643e-16 5.338659342229867e-14 1.4140489422452507e-15 1.189458798373301e-15 7.162436589344364e-16 -2.9303197745785596e-15 9.839859891808681e-16
2020nxt 18 1.0395671459745864e-14 2.6068046408940183e-16 -1.391822375079154e-16 1.8710213096272014e-16 2.7286644074096853e-15 2.2852768919885265e-16 9.678076845110096e-15 3.8845684619367127e-16 -3.9573621234841194e-16 3.0643600758681807e-16 2.0672292717144155e-14 8.7492185738198e-16 1.7956082533788695e-15 5.667177098424044e-16 -2.2926491949114098e-15 6.952756036506463e-16
1998S 71 7.040192304055601e-15 3.9146330163920637e-16 2.6232848407643987e-14 5.5463442520705e-16 1.752479987978164e-15 3.48177968920633e-16 1.1002732742042153e-14 5.6906779327099705e-16 1.2634594029739569e-14 5.523424090884255e-16 5.548297419349166e-15 7.729079849256096e-16 4.351217109370735e-15 7.626456589984398e-16 -2.9288061882197743e-15 8.8991191852891e-16
1998S 236 8.051074390522614e-15 4.892879606315293e-16 3.167871120068651e-14 6.678108264187879e-16 -1.7622840105935868e-15 3.411992233539234e-16 1.0833242790032398e-15 5.172826659143678e-16 1.1856939341818367e-14 5.88119412154236e-16 7.93012378310403e-15 7.105578340044863e-16 4.3756142309249695e-15 7.506214466900577e-16 -1.8855038012796405e-15 7.485033765018487e-16
1998S 482 6.919620146710009e-15 2.5639249784776297e-16 5.299750895261098e-15 2.840692189326541e-16 -1.1055135396404384e-15 1.5416887219054096e-16 2.9969680023212428e-15 2.4245646194994257e-16 8.585958998401919e-15 3.0745268027041714e-16 3.863272733970863e-15 3.3178731637175773e-16 1.486827871690848e-15 3.355157097308998e-16 -9.690638983868387e-16 3.2090518627095506e-16
2020aekp 203 -3.0011175289840753e-16 7.023420212316162e-17 1.0514867884259719e-16 6.557155460753664e-17 -2.3119381453665616e-16 4.7243060818341896e-17 5.812009501782068e-16 1.233367626951366e-16 3.3938496516087127e-16 1.0649210122359013e-16 1.983929687878249e-15 2.624718681392423e-16 0.0 0.0 0.0 0.0
2020aekp 250 3.135992333574054e-16 1.2001926898475466e-16 1.2354362253555186e-16 9.278917250715148e-17 -4.5859677589734534e-17 8.169951402061414e-17 7.834929554294218e-16 1.589752589057152e-16 1.202864188862091e-16 1.277029642181104e-16 3.0445310947978414e-15 3.3936760432552853e-16 0.0 0.0 0.0 0.0
