obj phase NIII1746 d_NIII1746 CIII1907 d_CIII1907 NII2139 d_NII2139 CII2323 d_CII2323 MgIIFeII2650 d_MgIIFeII2650 MgII2795 d_MgII2795
2005ip 3042 1.2545642895558528e-14 2.7552149962369307e-15 1.2427517672284974e-14 1.1946474530305165e-15 6.9509261929001235e-15 5.514914104320039e-16 4.657668527068348e-15 4.3672371324791424e-16 -6.16068820571824e-16 2.7485614540044744e-16 1.3188504924376068e-13 1.2349156616872758e-15
2021csp 7 -1.623843674843143e-15 4.576225153754114e-16 2.337914393657833e-15 1.8435232598520577e-16 1.2779681573696947e-16 1.1828109859417275e-16 -1.4422116656146452e-15 1.1224027378850078e-16 -3.82360901642134e-17 9.934855696501269e-17 7.377178029150523e-16 3.798152269758618e-16
2021csp 11 4.0551804424706825e-17 4.522640638286372e-16 -7.306499600411949e-17 1.576457871404716e-16 -2.0260937532317456e-16 1.3008810595957754e-16 3.543209117639262e-16 1.236460956823161e-16 3.6535047145181633e-16 1.1546584799324885e-16 -1.2765653976027276e-15 2.4785264995473954e-16
2015G 12 4.8173607498191794e-14 1.890588912285918e-15 -9.747777447721728e-15 5.881532771531051e-16 -1.5649787860103008e-14 3.597985494167334e-16 -1.4713334888882417e-15 2.67169422846726e-16 -1.1939470834954957e-15 1.6891106233198574e-16 3.335515531194934e-14 5.290136398924715e-16
2020nxt 18 5.193964717435496e-15 7.363504539262741e-16 1.8647210241821974e-14 6.535637499874699e-16 -1.22214021128063e-15 2.179699649672091e-16 6.7820648538594266e-15 2.9636875383421973e-16 4.982838350847821e-16 1.7538977126129996e-16 2.805664950974009e-14 7.836548824390218e-16
2020nxt 27 8.649275141767512e-15 1.2592202941093746e-15 9.981572270122786e-15 8.995231655420144e-16 1.8529820032979103e-15 3.0970585497760277e-16 5.04963783955553e-15 3.655618583403609e-16 -3.859682768591144e-16 1.8714351782989715e-16 3.784152437184328e-14 9.242822517182602e-16
2010jl 23 4.822974418315502e-13 2.6727218930923094e-14 2.3249629522698955e-13 1.3931272832327905e-14 1.56430479561968e-13 3.5434397056893022e-15 8.760284674790205e-14 2.3738763575317017e-15 8.926272557875981e-15 1.6984737383117604e-15 4.789130380455444e-13 4.113967199397921e-15
2010jl 34 5.272587306106388e-13 2.8247005131343333e-14 2.470459151930761e-13 1.326889994357914e-14 1.742357926553672e-13 3.3233839345211493e-15 8.664085779150629e-14 2.1977353291593407e-15 1.2607317122895657e-14 1.733286337701367e-15 5.668319978150969e-13 4.1134155791138864e-15
2010jl 95 6.014444406554205e-13 5.2912834005879266e-14 2.7540205895167613e-13 1.4213373704616886e-14 2.2171920437378177e-13 3.787381577720997e-15 1.2096241052462136e-13 2.451014535815672e-15 1.3615991780557495e-14 1.8670931726966302e-15 1.6291012231836403e-12 5.456880899422966e-15
2010jl 557 2.0573765987075307e-14 2.261029782269277e-15 1.6940415056796697e-14 1.1849291663902881e-15 1.3959171614244001e-14 7.084696359386113e-16 8.6111844424034e-15 5.8122063134041e-16 -7.320009589030694e-16 2.8856233631343326e-16 5.103066948737281e-13 2.33641501569152e-15
2010jl 1226 1.3856908603831546e-15 4.270263866270906e-15 -2.2112649808166994e-16 2.0137714815516197e-15 -5.670134780478698e-17 1.1344071347477132e-15 1.4108927841499823e-16 7.448401155462034e-16 -1.1482464616862916e-16 4.559982871791777e-16 2.1554764313898823e-16 1.621997455072219e-15
2010jl 1616 1.610221742865862e-15 2.629174982538388e-15 1.3023087759150564e-15 1.2764822559666676e-15 1.444310941335343e-16 7.127914408171785e-16 8.207858625103928e-16 4.65650927627668e-16 -1.8033767914134047e-16 2.349553041057796e-16 -6.655852105441779e-16 9.919573844681266e-16
1998S 71 3.8986181464146625e-15 1.1182397435584672e-15 4.780708153647468e-15 7.005943993045016e-16 1.920141986938232e-15 4.526393138157036e-16 8.019664480922416e-15 3.8684310296451485e-16 9.851782504344743e-16 3.087741901205129e-16 5.679868753118056e-13 1.7996998597882406e-15
1998S 236 3.3310696689219296e-15 1.11832993193979e-15 3.2108605333683593e-15 5.667069880555714e-16 9.851350597265246e-16 3.1294529854199266e-16 1.6103675188024224e-15 2.5471075890696977e-16 -5.803353881765652e-16 1.3809978893238886e-16 3.9792524887084327e-13 1.3083519722513525e-15
1998S 485 3.478498783949256e-16 9.34990731890347e-16 2.5095793468831772e-15 4.790688391739897e-16 2.624014501375608e-16 2.4587249160810694e-16 1.1190045986700921e-15 1.8799521661814918e-16 -5.480772839942413e-17 1.1247399865392845e-16 1.659192530092222e-13 8.604323185247045e-16
2020aekp 203 1.5131834555085093e-16 8.691958494043446e-16 1.4689517362734428e-15 5.183899403548132e-16 7.826056493490333e-18 3.027910925537016e-16 5.48876447001973e-16 2.2604752082787796e-16 -1.2267012426145457e-16 1.336099929522893e-16 5.858777568155056e-16 7.762934531381455e-16
2020aekp 250 -8.537746556290602e-17 4.934212537833739e-16 2.009688328031297e-15 3.0755657892275407e-16 7.287582222685809e-16 1.8108947259546506e-16 7.312187570292407e-16 1.452769893706434e-16 -4.722939830535952e-17 9.654410882549725e-17 5.6538335051396465e-15 4.959329331235367e-16
